cluster_idx	scan	mz	RTINSECONDS	index in file	source filename
192	281	401.135	0	281	datasets/MSV000078787_specs_ms.mgf
195	283	401.351	0	283	datasets/MSV000078787_specs_ms.mgf
195	284	401.762	0	284	datasets/MSV000078787_specs_ms.mgf
195	285	402.205	0	285	datasets/MSV000078787_specs_ms.mgf
195	287	402.284	0	287	datasets/MSV000078787_specs_ms.mgf
199	290	404.202	0	290	datasets/MSV000078787_specs_ms.mgf
199	291	405.146	0	291	datasets/MSV000078787_specs_ms.mgf
199	293	405.751	0	293	datasets/MSV000078787_specs_ms.mgf
199	294	405.752	0	294	datasets/MSV000078787_specs_ms.mgf
202	296	406.176	0	296	datasets/MSV000078787_specs_ms.mgf
202	297	406.21	0	297	datasets/MSV000078787_specs_ms.mgf
202	298	406.259	0	298	datasets/MSV000078787_specs_ms.mgf
206	303	407.51	0	303	datasets/MSV000078787_specs_ms.mgf
206	304	408.195	0	304	datasets/MSV000078787_specs_ms.mgf
214	311	411.314	0	311	datasets/MSV000078787_specs_ms.mgf
214	312	412.267	0	312	datasets/MSV000078787_specs_ms.mgf
214	314	412.754	0	314	datasets/MSV000078787_specs_ms.mgf
214	316	412.758	0	316	datasets/MSV000078787_specs_ms.mgf
215	313	412.413	0	313	datasets/MSV000078787_specs_ms.mgf
215	317	413.304	0	317	datasets/MSV000078787_specs_ms.mgf
221	322	415.751	0	322	datasets/MSV000078787_specs_ms.mgf
221	323	416.161	0	323	datasets/MSV000078787_specs_ms.mgf
229	331	418.196	0	331	datasets/MSV000078787_specs_ms.mgf
229	332	418.297	0	332	datasets/MSV000078787_specs_ms.mgf
236	339	422.201	0	339	datasets/MSV000078787_specs_ms.mgf
236	341	422.309	0	341	datasets/MSV000078787_specs_ms.mgf
236	342	422.362	0	342	datasets/MSV000078787_specs_ms.mgf
236	343	422.584	0	343	datasets/MSV000078787_specs_ms.mgf
236	344	423.103	0	344	datasets/MSV000078787_specs_ms.mgf
238	345	423.269	0	345	datasets/MSV000078787_specs_ms.mgf
238	348	424.101	0	348	datasets/MSV000078787_specs_ms.mgf
238	353	424.269	0	353	datasets/MSV000078787_specs_ms.mgf
238	354	424.269	0	354	datasets/MSV000078787_specs_ms.mgf
252	362	426.282	0	362	datasets/MSV000078787_specs_ms.mgf
252	363	426.761	0	363	datasets/MSV000078787_specs_ms.mgf
252	364	426.844	0	364	datasets/MSV000078787_specs_ms.mgf
252	365	427.2	0	365	datasets/MSV000078787_specs_ms.mgf
254	367	427.33	0	367	datasets/MSV000078787_specs_ms.mgf
254	368	427.347	0	368	datasets/MSV000078787_specs_ms.mgf
254	369	427.823	0	369	datasets/MSV000078787_specs_ms.mgf
254	371	428.231	0	371	datasets/MSV000078787_specs_ms.mgf
254	373	428.291	0	373	datasets/MSV000078787_specs_ms.mgf
256	374	428.335	0	374	datasets/MSV000078787_specs_ms.mgf
256	378	429.24	0	378	datasets/MSV000078787_specs_ms.mgf
256	379	429.253	0	379	datasets/MSV000078787_specs_ms.mgf
256	382	429.717	0	382	datasets/MSV000078787_specs_ms.mgf
264	384	430.912	0	384	datasets/MSV000078787_specs_ms.mgf
264	387	431.325	0	387	datasets/MSV000078787_specs_ms.mgf
264	388	431.335	0	388	datasets/MSV000078787_specs_ms.mgf
267	389	432.177	0	389	datasets/MSV000078787_specs_ms.mgf
267	390	432.231	0	390	datasets/MSV000078787_specs_ms.mgf
267	393	432.658	0	393	datasets/MSV000078787_specs_ms.mgf
270	394	434.146	0	394	datasets/MSV000078787_specs_ms.mgf
270	395	434.168	0	395	datasets/MSV000078787_specs_ms.mgf
270	396	434.188	0	396	datasets/MSV000078787_specs_ms.mgf
270	397	434.279	0	397	datasets/MSV000078787_specs_ms.mgf
270	398	434.313	0	398	datasets/MSV000078787_specs_ms.mgf
272	400	435.199	0	400	datasets/MSV000078787_specs_ms.mgf
272	401	435.203	0	401	datasets/MSV000078787_specs_ms.mgf
272	403	435.359	0	403	datasets/MSV000078787_specs_ms.mgf
272	404	436.196	0	404	datasets/MSV000078787_specs_ms.mgf
275	407	437.303	0	407	datasets/MSV000078787_specs_ms.mgf
275	409	437.309	0	409	datasets/MSV000078787_specs_ms.mgf
275	411	438.154	0	411	datasets/MSV000078787_specs_ms.mgf
275	412	438.211	0	412	datasets/MSV000078787_specs_ms.mgf
275	414	438.858	0	414	datasets/MSV000078787_specs_ms.mgf
275	415	438.87	0	415	datasets/MSV000078787_specs_ms.mgf
275	416	439.105	0	416	datasets/MSV000078787_specs_ms.mgf
281	418	439.224	0	418	datasets/MSV000078787_specs_ms.mgf
281	419	439.234	0	419	datasets/MSV000078787_specs_ms.mgf
281	420	439.311	0	420	datasets/MSV000078787_specs_ms.mgf
281	421	440.181	0	421	datasets/MSV000078787_specs_ms.mgf
284	424	440.254	0	424	datasets/MSV000078787_specs_ms.mgf
284	427	440.267	0	427	datasets/MSV000078787_specs_ms.mgf
284	430	440.411	0	430	datasets/MSV000078787_specs_ms.mgf
284	432	441.186	0	432	datasets/MSV000078787_specs_ms.mgf
284	436	441.729	0	436	datasets/MSV000078787_specs_ms.mgf
289	433	441.266	0	433	datasets/MSV000078787_specs_ms.mgf
289	434	441.284	0	434	datasets/MSV000078787_specs_ms.mgf
289	437	442.205	0	437	datasets/MSV000078787_specs_ms.mgf
289	438	442.22	0	438	datasets/MSV000078787_specs_ms.mgf
295	442	442.28	0	442	datasets/MSV000078787_specs_ms.mgf
295	446	443.241	0	446	datasets/MSV000078787_specs_ms.mgf
295	449	443.541	0	449	datasets/MSV000078787_specs_ms.mgf
295	450	444.167	0	450	datasets/MSV000078787_specs_ms.mgf
302	452	445.139	0	452	datasets/MSV000078787_specs_ms.mgf
302	453	445.163	0	453	datasets/MSV000078787_specs_ms.mgf
302	455	445.286	0	455	datasets/MSV000078787_specs_ms.mgf
302	456	445.339	0	456	datasets/MSV000078787_specs_ms.mgf
304	457	446.29	0	457	datasets/MSV000078787_specs_ms.mgf
304	458	446.732	0	458	datasets/MSV000078787_specs_ms.mgf
304	460	446.736	0	460	datasets/MSV000078787_specs_ms.mgf
306	461	446.774	0	461	datasets/MSV000078787_specs_ms.mgf
306	462	446.78	0	462	datasets/MSV000078787_specs_ms.mgf
308	464	448.225	0	464	datasets/MSV000078787_specs_ms.mgf
308	465	448.247	0	465	datasets/MSV000078787_specs_ms.mgf
308	467	448.274	0	467	datasets/MSV000078787_specs_ms.mgf
308	473	448.581	0	473	datasets/MSV000078787_specs_ms.mgf
308	475	449.214	0	475	datasets/MSV000078787_specs_ms.mgf
316	477	449.227	0	477	datasets/MSV000078787_specs_ms.mgf
316	478	449.225	0	478	datasets/MSV000078787_specs_ms.mgf
317	479	449.359	0	479	datasets/MSV000078787_specs_ms.mgf
317	480	449.747	0	480	datasets/MSV000078787_specs_ms.mgf
317	482	450.228	0	482	datasets/MSV000078787_specs_ms.mgf
317	484	450.243	0	484	datasets/MSV000078787_specs_ms.mgf
323	487	451.179	0	487	datasets/MSV000078787_specs_ms.mgf
323	488	451.202	0	488	datasets/MSV000078787_specs_ms.mgf
323	489	451.252	0	489	datasets/MSV000078787_specs_ms.mgf
323	491	452.169	0	491	datasets/MSV000078787_specs_ms.mgf
323	495	452.678	0	495	datasets/MSV000078787_specs_ms.mgf
326	494	452.298	0	494	datasets/MSV000078787_specs_ms.mgf
326	496	453.181	0	496	datasets/MSV000078787_specs_ms.mgf
326	497	453.207	0	497	datasets/MSV000078787_specs_ms.mgf
326	499	454.14	0	499	datasets/MSV000078787_specs_ms.mgf
326	500	454.148	0	500	datasets/MSV000078787_specs_ms.mgf
329	501	454.19	0	501	datasets/MSV000078787_specs_ms.mgf
329	502	454.194	0	502	datasets/MSV000078787_specs_ms.mgf
332	505	455.287	0	505	datasets/MSV000078787_specs_ms.mgf
332	506	455.303	0	506	datasets/MSV000078787_specs_ms.mgf
332	513	455.761	0	513	datasets/MSV000078787_specs_ms.mgf
342	519	457.151	0	519	datasets/MSV000078787_specs_ms.mgf
342	520	457.222	0	520	datasets/MSV000078787_specs_ms.mgf
342	521	457.222	0	521	datasets/MSV000078787_specs_ms.mgf
342	523	457.697	0	523	datasets/MSV000078787_specs_ms.mgf
342	524	457.723	0	524	datasets/MSV000078787_specs_ms.mgf
344	507	458.096	0	507	datasets/MSV000078787_specs_ms.mgf
344	527	458.324	0	527	datasets/MSV000078787_specs_ms.mgf
345	525	458.179	0	525	datasets/MSV000078787_specs_ms.mgf
345	528	458.752	0	528	datasets/MSV000078787_specs_ms.mgf
345	529	458.752	0	529	datasets/MSV000078787_specs_ms.mgf
349	531	459.192	0	531	datasets/MSV000078787_specs_ms.mgf
349	533	459.239	0	533	datasets/MSV000078787_specs_ms.mgf
349	535	459.252	0	535	datasets/MSV000078787_specs_ms.mgf
352	536	460.225	0	536	datasets/MSV000078787_specs_ms.mgf
352	538	460.252	0	538	datasets/MSV000078787_specs_ms.mgf
352	540	460.281	0	540	datasets/MSV000078787_specs_ms.mgf
352	541	460.747	0	541	datasets/MSV000078787_specs_ms.mgf
352	542	460.77	0	542	datasets/MSV000078787_specs_ms.mgf
352	543	460.805	0	543	datasets/MSV000078787_specs_ms.mgf
355	544	461.245	0	544	datasets/MSV000078787_specs_ms.mgf
355	545	461.777	0	545	datasets/MSV000078787_specs_ms.mgf
357	547	462.259	0	547	datasets/MSV000078787_specs_ms.mgf
357	548	462.259	0	548	datasets/MSV000078787_specs_ms.mgf
358	549	462.284	0	549	datasets/MSV000078787_specs_ms.mgf
358	553	462.403	0	553	datasets/MSV000078787_specs_ms.mgf
358	557	463.232	0	557	datasets/MSV000078787_specs_ms.mgf
358	559	463.241	0	559	datasets/MSV000078787_specs_ms.mgf
358	561	463.271	0	561	datasets/MSV000078787_specs_ms.mgf
358	564	463.776	0	564	datasets/MSV000078787_specs_ms.mgf
358	566	464.218	0	566	datasets/MSV000078787_specs_ms.mgf
358	567	464.221	0	567	datasets/MSV000078787_specs_ms.mgf
358	572	464.728	0	572	datasets/MSV000078787_specs_ms.mgf
358	574	464.747	0	574	datasets/MSV000078787_specs_ms.mgf
358	575	464.749	0	575	datasets/MSV000078787_specs_ms.mgf
371	570	464.268	0	570	datasets/MSV000078787_specs_ms.mgf
371	571	464.305	0	571	datasets/MSV000078787_specs_ms.mgf
371	577	464.872	0	577	datasets/MSV000078787_specs_ms.mgf
371	579	465.216	0	579	datasets/MSV000078787_specs_ms.mgf
371	580	465.217	0	580	datasets/MSV000078787_specs_ms.mgf
371	581	465.266	0	581	datasets/MSV000078787_specs_ms.mgf
371	582	465.706	0	582	datasets/MSV000078787_specs_ms.mgf
371	585	465.828	0	585	datasets/MSV000078787_specs_ms.mgf
378	586	466.193	0	586	datasets/MSV000078787_specs_ms.mgf
378	588	466.226	0	588	datasets/MSV000078787_specs_ms.mgf
378	589	466.236	0	589	datasets/MSV000078787_specs_ms.mgf
